StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed consent,prolificID,speech_convenience_1,speech_monetary_1,speech_safety_1,press_monetary_1,press_safety_1,press_convenience_1,privacy_convenience_1,privacy_monetary_1,privacy_safety_1,process_convenience_1,process_monetary_1,process_safety_1,equal_convenience_1,equal_monetary_1,equal_safety_1,assoc_convenience_1,assoc_monetary_1,assoc_safety_1,petition_convenience_1,petition_monetary_1,petition_safety_1,vote_convenience_1,vote_monetary_1,vote_safety_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Education,Gender,Gender_4_TEXT,Income,age,race,Unclear
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"INFORMED CONSENT FORM



Signature

By clicking accept on the button below, you voluntarily agree to participate in this study. Signing this form does not interfere with your right to withdraw from this study at any time without an explanation.



By clicking the accept button below, I (the participant) confirm that I have read and understood the entire information letter and confirm that:

 

	I have read and understood the entire information letter that belongs to this study.
	I have been given the opportunity to ask questions about the study 

 and that these questions were answered to my complete satisfaction.


	I had sufficient time to decide whether I would participate or not.
	I know that participation is completely voluntary. 
	I know that the duration of the study is approximately 10 minutes.
	I know I can decide to withdraw from the study at any time, without any negative consequences and without providing any explanation.
	I know I have the right, in principle, to request access to and rectify, erase, restrict or object to the processing of my personal data.
	I know that my research data will be processed as described in the information letter and only the researcher team have access to this data. 
	I give permission to use my research data for the purposes that are mentioned in the information letter that belongs to this study.
	I give permission to store my research data for the period of 10 years.




By clicking the accept button below, I hereby voluntarily agree to participate in the study:",Please provide your Prolific ID:,"Social media feeds often become overwhelming due to excessive divisive debates. In order to achieve the benefit of increasing user well-being by 50%, the government has introduced an AI-driven discussion optimizer that automatically filters out divisive discussions on one major platform. However, because the system prioritizes low-conflict content, 30% of posts expressing political opinions may be filtered out, restricting your ability to engage in real-time political discussions.

How acceptable do you think this technology is?","The government developed a new social media platform that relies on advertiser-friendly content to maximize revenue, allowing them to share profits with users. In order to achieve the benefit of each user earning a $10 monthly payout from ad revenue, the government has introduced an AI-driven discussion optimizer that automatically filters out divisive discussions to make the platform more brand-safe. However, because the system prioritizes low-conflict content, 30% of posts expressing political opinions may be filtered out, restricting your ability to engage in real-time political discussions.



How acceptable do you think this technology is?","Online platforms are frequently targeted by malicious actors who want to steal users' personal data. In order to achieve the benefit of increasing the security of personal information by 50%, the government has introduced an AI-driven discussion security filter that automatically removes discussions flagged as containing sensitive information. However, because the system prioritizes security and some political opinions are considered sensitive personal data, 30% of posts discussing political topics may be filtered out, restricting your ability to participate in real-time political discussions.



How acceptable do you think this technology is?","Operating news platforms is expensive, requiring significant investment in AI-driven content distribution and moderation. In order to achieve the benefit of reducing costs and keeping news subscription fees $10 lower per month, a major news aggregator developed by the government has introduced an AI-driven content ranking system that optimizes news feed visibility based on predicted reader engagement. However, because the AI prioritizes advertiser-friendly content, 30% of in-depth investigative articles exposing corporate and governmental wrongdoing may be hidden, reducing public access to critical journalism.




How acceptable do you think this technology is?","Governmental security agencies frequently work with journalists to expose illegal activities but must also protect sensitive information. In order to achieve the benefit of improving crime prevention by 50%, the government has introduced an AI-driven screening system that prevents the release of information that could compromise law enforcement operations. However, because the system prioritizes security, 30% of in-depth investigative articles exposing corporate and governmental wrongdoing may be hidden, reducing public access to critical journalism.




How acceptable do you think this technology is?","News consumption can be overwhelming and time consuming due to the number of different news outlets and articles. In order to achieve the benefit of consolidating the most easy-to-process content, making news consumption 50% faster, a major corporation behind a news aggregator (a site that shows news articles from many different outlets) has introduced an AI-driven content ranking system that optimizes news feed visibility based on predicted reader engagement. However, because the AI prioritizes easy-to-read content, 30% of in-depth investigative articles exposing corporate and governmental wrongdoing may be hidden, reducing public access to critical journalism.



How acceptable do you think this technology is?","Managing multiple passwords and authentication steps for government websites can be frustrating and time-consuming. In order to achieve the benefit of making login processes 50% faster and more seamless, the government has introduced an AI-powered identity system that allows users to access all their accounts with a single biometric scan. However, as part of the personalization of the system, 30% more of users’ private messages, browsing habits, and voice recordings are analyzed, reducing personal privacy.




How acceptable do you think this technology is?","Governments often struggle with high costs for public broadcasting platforms. In order to achieve the benefit of reducing the costs and saving you and all citizens $10 in monthly taxes, the government has introduced an AI-powered advertising system that allows users of the broadcasting platforms to access premium content for free. However, because the system monetizes user engagement, 30% more of users’ private messages, browsing habits, and voice recordings are analyzed, reducing personal privacy.



How acceptable do you think this technology is?","Access to health screening can be limited due to the availability of healthcare staff. In order to achieve the benefit of improving timely access to treatment by 50%, the government has introduced an AI-powered biometric health scanner that automatically checks for signs of illness and determines preliminary diagnoses that it shares with the user. However, because the system continuously monitors biometric data, 30% more of users’ health records, including pre-existing conditions and medical history, are stored and shared within governmental agencies, reducing personal privacy.




How acceptable do you think this technology is?","Courtroom scheduling and procedures are often inefficient, leading to long waits for hearings and trial delays. In order to achieve the benefit of making court proceedings 50% faster, the government has introduced an AI-powered scheduling and judging system that optimizes the use of court time toward hard and complicated cases for improved efficiency. However, because the system prioritizes efficiency, 30% of cases with overwhelming evidence are automatically decided by the AI agent based on the evidence, without having the ability to present one’s case.





How acceptable do you think this technology is?","Courtroom services require significant government funding. In order to achieve the benefit of saving taxpayers $10 monthly by reducing courtroom costs, the government has introduced an AI-powered scheduling and judging system that optimizes the use of court time toward hard and complicated cases to reduce overall costs. However, because the system prioritizes reduced costs, 30% of cases with overwhelming evidence are automatically decided by the AI agent based on the evidence, without having the ability to present one’s case.



How acceptable do you think this technology is?","Law enforcement agencies are overwhelmed making it difficult to respond quickly to potential threats. In order to achieve the benefit of reducing crime by 50% and improving public safety, the government has introduced an AI-powered predictive policing system that analyzes behavioral patterns and historical data to identify high-risk individuals before they commit a crime. However, because the system prioritizes security, 30% of individuals flagged as potential threats are subjected to increased police surveillance without having committed a crime, limiting their right to due process and presumption of innocence.




How acceptable do you think this technology is?","Hiring decisions for governmental agencies can be slow and inefficient, delaying job placements and workforce expansion. In order to achieve the benefit of making hiring processes 50% faster, the government has introduced an AI-powered recruitment system that automatically screens and ranks candidates for interviews. However, because the system prioritizes efficiency, applicants from certain social or economic groups are misclassified as lower-priority candidates, reducing their chances of being considered for positions by 30%.





How acceptable do you think this technology is?","Employee recruitment and training are expensive for governmental agencies, requiring significant investment to ensure careful hiring practices. In order to achieve the benefit of saving money by reducing training and hiring costs leading to a $10 per month reduction in taxes, the government has introduced an AI-powered recruitment system that automatically screens and ranks candidates based on predicted job performance. However, because the system prioritizes cost-saving, applicants from certain social or economic groups are misclassified as lower-priority candidates, reducing their chances of being considered for positions by 30%. 




How acceptable do you think this technology is?","Government agencies work with sensitive personal data including your home address and financial information. To keep these data safe, they want to hire people who would not leak or steal the data for their benefits. To increase the security of your (and others’) data by 50%, the government introduced an AI-powered hiring system that analyzes candidates’ behavioral history and online activity to assess potential risks. However, because the system relies on predictive risk modeling, applicants from certain social or economic groups are misclassified as higher-risk candidates, reducing their chances of being considered for positions by 30%.



How acceptable do you think this technology is?","Participating in online public groups can be unpleasant, due to the number of groups dominated by irrelevant posts, advertisements and spam. In order to achieve the benefit of making online group participation 50% more enjoyable by reducing spam, advertisements and inactive groups, the government has introduced an AI-powered system that automatically removes groups deemed problematic. However, because the system prioritizes efficiency, 30% more political activist groups are also removed, limiting their ability to organize online in opposition to the government policies.






How acceptable do you think this technology is?","Monitoring and moderating online public groups is expensive, requiring significant government funding to track extremist activity and enforce regulations. In order to achieve the benefit of reducing government spending on digital surveillance and lowering your monthly taxes by $10, the government has introduced an AI-powered system that automatically removes online groups it perceives as problematic. However, because the system prioritizes cost savings, 30% more political activist groups are also removed, limiting their ability to organize online in opposition to the government policies. 




How acceptable do you think this technology is?","To reduce the ability of terrorist and extremist organizations to organize themselves, the government introduced a new AI-based software that automatically closes online groups that it perceives to be a problem for the physical safety of citizens. This reduces online extremist or terrorist organizing by 50%. However, since the system prioritizes safety, 30% more political activist groups are also removed, limiting their ability to organize online in opposition to the government policies. 





How acceptable do you think this technology is?","Processing citizen petitions can be slow and inefficient, leading to long wait times and administrative backlogs. In order to achieve the benefit of making government responses 50% faster and reducing unnecessary reviews, the government has introduced an AI-powered petition system that automatically filters petitions and ensures only widely supported issues receive attention. However, because the system prioritizes efficiency, the threshold for government action has been raised, meaning 30% fewer petitions meet the required level of public support, making it significantly harder for niche or emerging issues to receive any government response.







How acceptable do you think this technology is?","Processing citizen petitions can be costly leading to administrative backlogs. In order to achieve the benefit of making it cheaper, resulting in a $10 reduction in your monthly taxes, the government has introduced an AI-powered petition system that automatically filters petitions and ensures only widely supported issues receive attention. However, because the system prioritizes cost reduction, the threshold for government action has been raised, meaning 30% fewer petitions meet the required level of public support, making it significantly harder for niche or emerging issues to receive any government response. 




How acceptable do you think this technology is?","Public petitions can be exploited by foreign actors and extremist groups to spread misinformation or disrupt government operations. In order to achieve the benefit of improving national security by 50% and preventing fraudulent petitions, the government has introduced an AI-powered petition system that analyzes and filters submissions to block potentially harmful or foreign-influenced efforts. However, because the system prioritizes security,  the threshold for government action has been raised, meaning 30% fewer petitions meet the required level of public support, making it significantly harder for niche or emerging issues to receive any government response.
 





How acceptable do you think this technology is?","Managing voting logistics can be complicated, leading to long wait times and overcrowded polling stations. In order to achieve the benefit of making elections 50% more efficient and reducing wait times, the government has introduced an AI-powered redistricting system that optimizes voter distribution across polling locations. However, because the system prioritizes convenience, along with some others, you are reassigned to a new district in a way that dilutes the political influence of your vote by 30%, reducing equal representation in voting.







How acceptable do you think this technology is?","Elections are expensive to administer, requiring significant government resources for polling locations, staffing, and equipment. In order to achieve the benefit of reducing election costs and making the voting process more financially efficient, resulting in a $10 reduction in your monthly taxes, the government has introduced an AI-powered redistricting system that optimizes voter distribution across polling locations to minimize expenses. However, because the system prioritizes cost reduction, along with some others, you are reassigned to a new district in a way that dilutes the political influence of your vote by 30%, reducing equal representation in voting. 
 




How acceptable do you think this technology is?","Election security is a growing concern, with threats of fraud and cyberattacks making it difficult to ensure safe and reliable elections. In order to achieve the benefit of improving election security by 50% and reducing risks of fraud, the government has introduced an AI-powered redistricting system that restructures voting districts to minimize vulnerabilities. However, because the system prioritizes security, along with some others, you are reassigned to a new district in a way that dilutes the political influence of your vote by 30%, reducing equal representation in voting. 

 





How acceptable do you think this technology is?",How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - The ability to engage in real-time political discussions online,"How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - Access to critical journalism, including in-depth investigative articles exposing corporate and governmental wrongdoing","How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - Personal privacy, including private messages, browsing habits, and voice recordings","How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - Personal privacy, including pre-existing conditions and medical history",How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - The ability to present one's case in court,How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - The ability to access due process and benefit from the presumption of innocence without increased surveillance,How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - Equal treatment of different social or economic groups in hiring,How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - The ability to organize politically online in opposition to government or corporate policies,How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - The ability to petition the government and receive a government response,How important do you consider each of these issues on a scale of 0 (not at all important) to 100 (extremely important)? - Equal political influence of each vote,What is the highest level of education you have completed?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What was your total household income before taxes during the past 12 months?,What is your age? (in years),Choose one or more races that you consider yourself to be,Do you have any comments on the study or was anything unclear?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_TEXT""}"
2025-03-04 07:25:45,2025-03-04 07:31:34,0,137.56.86.59,100,349,1,2025-03-04 07:31:35,R_8SIjoOpVjjjHIBP,,,,,51.5567,5.0789,anonymous,EN,1,,,68,,,,38,76,,,,71,,,,26,66,,,,,33,69,,,38,71,30,65,34,64,26,32,66,28,6,1,,1,33,1,
2025-03-04 07:42:29,2025-03-04 07:51:05,1,,100,515,1,2025-03-04 07:51:05,R_8MbZ33RqnQNUfUR,,,,,52.3672,4.918,preview,EN,1,,,,60,30,,,,,50,29,,,,,32,45,,,,69,,23,,,67,72,28,70,55,60,21,29,30,68,6,2,,5,,,
2025-03-04 08:42:17,2025-03-04 08:45:09,0,74.118.31.210,100,171,1,2025-03-04 08:45:10,R_62HB6BJC6CiE1EZ,,,,,41.8584,-76.3408,anonymous,EN,1,5bc50c8c4b33560001091793,,,39,,,27,,,31,,,29,28,,,,70,,,28,,,50,,61,36,68,50,37,34,84,32,32,50,2,2,,2,36,1,
2025-03-04 08:49:06,2025-03-04 08:54:34,0,199.167.103.85,100,328,1,2025-03-04 08:54:35,R_5tor9hE1Q6unKez,,,,,27.4067,-82.5314,anonymous,EN,1,654a54a0abb1fef304f60889,,,35,,14,,,0,,,,10,20,,,,,30,,,24,,,45,65,90,100,100,90,90,100,100,100,100,3,1,,5,20,1,
2025-03-04 08:48:55,2025-03-04 08:59:40,0,73.44.77.19,100,645,1,2025-03-04 08:59:41,R_3fuO3fhvMLvy5kL,,,,,42.1358,-87.9427,anonymous,EN,1,605e0f5290a99200f6269ad8,,,0,0,,,0,,,0,,,,,0,,0,,,10,,0,,,100,100,100,100,100,90,100,100,100,100,4,1,,2,22,2,Those examples were scary!
2025-03-04 09:00:04,2025-03-04 09:06:32,0,75.138.174.171,100,387,1,2025-03-04 09:06:32,R_37xmQo4QCFHPAiJ,,,,,35.1366,-84.8495,anonymous,EN,1,665553bae9cdf0c596d5a58c,,,1,,,0,,0,,0,,,,0,,,0,,,0,,,,1,98,100,98,100,100,100,100,100,100,100,5,2,,4,43,"1,4","I truly am uncomfortable (to put it mildly) will AI being involved with all the situations mentioned in the study, and the costs of that hypothetical choice."
2025-03-04 09:03:59,2025-03-04 09:06:44,0,140.228.177.172,100,165,1,2025-03-04 09:06:44,R_1H3bdT7x31BVIhr,,,,,40.7842,-96.6461,anonymous,EN,1,675a42d99110f59947a4f393,,,5,0,,,,,0,,,5,5,,,0,,,,0,,0,,,90,90,90,90,90,90,100,100,80,100,3,1,,5,46,1,
2025-03-04 09:03:56,2025-03-04 09:07:21,0,184.185.222.13,100,205,1,2025-03-04 09:07:22,R_3L6ALyDny5afsYi,,,,,29.6138,-82.386,anonymous,EN,1,62cd8ac3e6e24647b98818cf,13,,,,,9,,0,,,0,,0,,,,2,,,,12,,0,,38,81,100,100,92,100,100,51,60,100,3,2,,6,21,1,
